repo	language	stars	code_hit_count	in_candidate_catalog	in_language_snapshot	html_url
Milkdromeda-333/Favorite-food-using-LOLCODE	LOLCODE	0	0	no	yes	https://github.com/Milkdromeda-333/Favorite-food-using-LOLCODE
Milkdromeda-333/Integer-calculator-using-LOLCODE	LOLCODE	0	0	no	yes	https://github.com/Milkdromeda-333/Integer-calculator-using-LOLCODE
Milkdromeda-333/name-asker-wiff-LOLCODE	LOLCODE	0	0	no	yes	https://github.com/Milkdromeda-333/name-asker-wiff-LOLCODE
MineRobber9000/lua-lcvm	Lua	0	0	no	no	https://github.com/MineRobber9000/lua-lcvm
MiscStuff839/Lolcode	LOLCODE	0	0	no	yes	https://github.com/MiscStuff839/Lolcode
MrFlyingToasterman/lolcode-crackme		0	0	no	no	https://github.com/MrFlyingToasterman/lolcode-crackme
Mtlayones/lolcode-interpreter	JavaScript	0	0	no	no	https://github.com/Mtlayones/lolcode-interpreter
Multiball/LOLCAML	OCaml	0	0	no	no	https://github.com/Multiball/LOLCAML
Neverjr/lolcode	Lex	0	0	no	no	https://github.com/Neverjr/lolcode
NghiLamPhuc/ProgrammingLanguage.	Scala	0	0	no	no	https://github.com/NghiLamPhuc/ProgrammingLanguage.
NicolePrivado/LolCode-Interpreter-ReactJS	JavaScript	0	0	no	no	https://github.com/NicolePrivado/LolCode-Interpreter-ReactJS
NippyTheDev/LOLCODE-IDE	Python	0	0	no	no	https://github.com/NippyTheDev/LOLCODE-IDE
Nuculais/21-Sticks	C#	0	0	no	no	https://github.com/Nuculais/21-Sticks
OddballGreg/lolcode2019	Ruby	0	0	no	no	https://github.com/OddballGreg/lolcode2019
Owkik/LOLCODE-Interpreter	Python	0	0	no	no	https://github.com/Owkik/LOLCODE-Interpreter
PathikShah-13/-root-programming-entry		0	0	no	no	https://github.com/PathikShah-13/-root-programming-entry
PathikShah-13/-root-programming-msd-entry		0	0	no	no	https://github.com/PathikShah-13/-root-programming-msd-entry
PatricCaviezel/LOLCODE-Fibonacci	LOLCODE	0	0	no	yes	https://github.com/PatricCaviezel/LOLCODE-Fibonacci
Pigottni/LOLcode_Project	Python	0	0	no	no	https://github.com/Pigottni/LOLcode_Project
Praoubl/lolcode-stuff		0	0	no	no	https://github.com/Praoubl/lolcode-stuff
QojoSatoru/LOLCODE	LOLCODE	0	0	no	yes	https://github.com/QojoSatoru/LOLCODE
RaddedMC/gcd-in-lol	LOLCODE	0	0	no	yes	https://github.com/RaddedMC/gcd-in-lol
RamBenitez/lolcode-lexical-analyzer	Python	0	0	no	no	https://github.com/RamBenitez/lolcode-lexical-analyzer
RealFatCat/lolcode-jff		0	0	no	no	https://github.com/RealFatCat/lolcode-jff
Rex-Kim/LOLCODE	C	0	0	no	no	https://github.com/Rex-Kim/LOLCODE
SKDelow/lolcode	HTML	0	0	no	no	https://github.com/SKDelow/lolcode
SVersj/go-lolcode	Go	0	0	no	no	https://github.com/SVersj/go-lolcode
SandeeepKiran/LOLCODE-https-learnxinyminutes.com-docs-LOLCODE-		0	0	no	no	https://github.com/SandeeepKiran/LOLCODE-https-learnxinyminutes.com-docs-LOLCODE-
Sig00rd/lol2py	Python	0	0	no	no	https://github.com/Sig00rd/lol2py
SomeUnusualGames/Flag-Wars-3-LOLCODE	LOLCODE	0	0	yes	yes	https://github.com/SomeUnusualGames/Flag-Wars-3-LOLCODE
Stanlee1234/LOLCODE-ADV-CALC	LOLCODE	0	0	no	yes	https://github.com/Stanlee1234/LOLCODE-ADV-CALC
Sterlinsheeja/lolcode		0	0	no	no	https://github.com/Sterlinsheeja/lolcode
Surachhya/LOLCODE_Markdown_Compiler	Rust	0	0	no	no	https://github.com/Surachhya/LOLCODE_Markdown_Compiler
Swizec/lolcode-fizzbuzz-example	JavaScript	0	0	no	no	https://github.com/Swizec/lolcode-fizzbuzz-example
TStut15/Random-Code	Fortran	0	0	no	no	https://github.com/TStut15/Random-Code
TheRepoArchiver/stop-making-pmmp-forks	Python	0	0	no	no	https://github.com/TheRepoArchiver/stop-making-pmmp-forks
TheSquashyMaker/LOLCODE-EXPERIMENTS	LOLCODE	0	0	no	yes	https://github.com/TheSquashyMaker/LOLCODE-EXPERIMENTS
TheeErnie/lolcode_stuff	LOLCODE	0	0	no	yes	https://github.com/TheeErnie/lolcode_stuff
Thisismygirlrakshaforsure/-LOLCODE		0	0	no	no	https://github.com/Thisismygirlrakshaforsure/-LOLCODE
TimothyJosef-Reyes/LOL_CODE-INTERPRETER	Python	0	0	no	no	https://github.com/TimothyJosef-Reyes/LOL_CODE-INTERPRETER
TylerMathews12/lolcode-RPS	LOLCODE	0	0	no	yes	https://github.com/TylerMathews12/lolcode-RPS
UlisseMini/RockPaperScissors	LOLCODE	0	0	no	yes	https://github.com/UlisseMini/RockPaperScissors
Vapidjimbo/LOLCode	HTML	0	0	no	no	https://github.com/Vapidjimbo/LOLCode
Vapidjimbo/LOLCode3	HTML	0	0	no	no	https://github.com/Vapidjimbo/LOLCode3
ViWilde/i-can-haz-mr-eatens-name	LOLCODE	0	0	no	yes	https://github.com/ViWilde/i-can-haz-mr-eatens-name
Welcome-To-My-Repo/LOLCODE-Compiler	C	0	0	no	no	https://github.com/Welcome-To-My-Repo/LOLCODE-Compiler
WorkInProgress-Development/LOLCODE-HelloWorld	LOLCODE	0	0	no	yes	https://github.com/WorkInProgress-Development/LOLCODE-HelloWorld
Yana-Koroliuk/LOLCODE-Interpreter	Java	0	0	no	no	https://github.com/Yana-Koroliuk/LOLCODE-Interpreter
ZadenMaestas/Dank-Calculator	LOLCODE	0	0	no	yes	https://github.com/ZadenMaestas/Dank-Calculator
Zelika3435/CMSC124-Project-lolcode_interpreter	Python	0	0	no	no	https://github.com/Zelika3435/CMSC124-Project-lolcode_interpreter
aDENTinTIME/toying_with_LOLCODE	LOLCODE	0	0	no	yes	https://github.com/aDENTinTIME/toying_with_LOLCODE
aagoshi/lolcode	Python	0	0	no	no	https://github.com/aagoshi/lolcode
abim91/lolcodeCompiler	Rust	0	0	no	no	https://github.com/abim91/lolcodeCompiler
achiisan/LOLCode	C#	0	0	no	no	https://github.com/achiisan/LOLCode
acnadua/lolcode_interpreter	C#	0	0	no	no	https://github.com/acnadua/lolcode_interpreter
actions-marketplace-validations/fabasoad_setup-lolcode-action	Shell	0	0	no	no	https://github.com/actions-marketplace-validations/fabasoad_setup-lolcode-action
aghastmuffin/lolcode.py		0	0	no	no	https://github.com/aghastmuffin/lolcode.py
akashdeeep/LOLcode-compiler	C	0	0	no	no	https://github.com/akashdeeep/LOLcode-compiler
akeustis/lolcode	Go	0	0	no	no	https://github.com/akeustis/lolcode
akplayle/LOLTracer		0	0	no	no	https://github.com/akplayle/LOLTracer
alcalamatthew/lolcode-test		0	0	no	no	https://github.com/alcalamatthew/lolcode-test
alecgerona/cmsc124lolterpreter	C#	0	0	no	no	https://github.com/alecgerona/cmsc124lolterpreter
alexa0o/lolcode-interpreter	C++	0	0	no	no	https://github.com/alexa0o/lolcode-interpreter
alexcimr/Transpiler-LOLCODE-do-Pythona		0	0	no	no	https://github.com/alexcimr/Transpiler-LOLCODE-do-Pythona
alexpana/lolcode.js	JavaScript	0	0	no	no	https://github.com/alexpana/lolcode.js
alisshamac/LOLCODE-Compiler	Python	0	0	no	no	https://github.com/alisshamac/LOLCODE-Compiler
aljonnovelo/lolcode-parser	Python	0	0	no	no	https://github.com/aljonnovelo/lolcode-parser
amsmite001/LOLCode	Jupyter Notebook	0	0	no	no	https://github.com/amsmite001/LOLCode
anatolyburtsev/lolcode_ply_interpreter	Python	0	0	no	no	https://github.com/anatolyburtsev/lolcode_ply_interpreter
andreanics/LolCode-Interpreter	JavaScript	0	0	no	no	https://github.com/andreanics/LolCode-Interpreter
andrel/lolpizza		0	0	no	no	https://github.com/andrel/lolpizza
anton-br/lolcode_interpreter	Python	0	0	no	no	https://github.com/anton-br/lolcode_interpreter
antonrufino/project-iwaca	JavaScript	0	0	no	no	https://github.com/antonrufino/project-iwaca
anttijuu/lolhello	LOLCODE	0	0	no	yes	https://github.com/anttijuu/lolhello
aquaviter/lolcode-docs	HTML	0	0	no	no	https://github.com/aquaviter/lolcode-docs
arcblast/project	Python	0	0	no	no	https://github.com/arcblast/project
arrudagates/lolcode-funzies	LOLCODE	0	0	no	yes	https://github.com/arrudagates/lolcode-funzies
artificialstarlight/LOLchat	LOLCODE	0	0	no	yes	https://github.com/artificialstarlight/LOLchat
arymus/lolcode-basics	LOLCODE	0	0	no	yes	https://github.com/arymus/lolcode-basics
aur-archive/lolcode-git	Shell	0	0	no	no	https://github.com/aur-archive/lolcode-git
aurik3/Lolcodev	JavaScript	0	0	no	no	https://github.com/aurik3/Lolcodev
baotoq/LolCode	Scala	0	0	no	no	https://github.com/baotoq/LolCode
bdwilliamsvanzant/LolCode	HTML	0	0	no	no	https://github.com/bdwilliamsvanzant/LolCode
bennettaur/lol-files		0	0	no	no	https://github.com/bennettaur/lol-files
bfedward/lolcoders	Rust	0	0	no	no	https://github.com/bfedward/lolcoders
blake18/COSC-455-Project-1-LOLCODE-Markdown-Language-Translation	Rust	0	0	no	no	https://github.com/blake18/COSC-455-Project-1-LOLCODE-Markdown-Language-Translation
bmwoods1111/LOLCode	HTML	0	0	no	no	https://github.com/bmwoods1111/LOLCode
brainjuicer/lolcode2		0	0	no	no	https://github.com/brainjuicer/lolcode2
brightblackhole/lolcode		0	0	no	no	https://github.com/brightblackhole/lolcode
brlimarce/lmao-code	Python	0	0	no	no	https://github.com/brlimarce/lmao-code
btseytlin/ply_lolcode	Python	0	0	no	no	https://github.com/btseytlin/ply_lolcode
camaeyeban/lolcode_interpreter	C#	0	0	no	no	https://github.com/camaeyeban/lolcode_interpreter
camh96/lolcode	LOLCODE	0	0	no	yes	https://github.com/camh96/lolcode
camilomolina/lolcode-labs	LOLCODE	0	0	no	yes	https://github.com/camilomolina/lolcode-labs
cgtnt/lolcode-interpreter	C#	0	0	no	no	https://github.com/cgtnt/lolcode-interpreter
chjuruena/LOLCODE_Interpreter_CMSC124	C#	0	0	no	no	https://github.com/chjuruena/LOLCODE_Interpreter_CMSC124
ciaramaegotis/CMSC-129-LOLCODE-lexyacc	C	0	0	no	no	https://github.com/ciaramaegotis/CMSC-129-LOLCODE-lexyacc
cj-mm/LOLterpreter	Python	0	0	no	no	https://github.com/cj-mm/LOLterpreter
clarmndp/lolcode-interpreter-cmsc124	Python	0	0	no	no	https://github.com/clarmndp/lolcode-interpreter-cmsc124
cloew/LOLCodeParser	Python	0	0	no	no	https://github.com/cloew/LOLCodeParser
clstia/124_LOLCode_Interpreter	C#	0	0	no	no	https://github.com/clstia/124_LOLCode_Interpreter
coding-club-toulouse/fizzbuzz-lolcode		0	0	no	no	https://github.com/coding-club-toulouse/fizzbuzz-lolcode
cslabiano/cmsc124-project	Python	0	0	no	no	https://github.com/cslabiano/cmsc124-project
cyberdrk/hello-reimagined-octo-fortnight-world		0	0	no	no	https://github.com/cyberdrk/hello-reimagined-octo-fortnight-world
cyronquillo/lolcode-interpreter	Python	0	0	no	no	https://github.com/cyronquillo/lolcode-interpreter
da1ssk7/justinmezad		0	0	no	no	https://github.com/da1ssk7/justinmezad
danfoy/fizzbuzz-lolcode	LOLCODE	0	0	no	yes	https://github.com/danfoy/fizzbuzz-lolcode
daniellucasdev/calc-cat	LOLCODE	0	0	no	yes	https://github.com/daniellucasdev/calc-cat
devoops0/lolfun	LOLCODE	0	0	no	yes	https://github.com/devoops0/lolfun
dlsantos/lolcode		0	0	no	no	https://github.com/dlsantos/lolcode
dr2xmillion371/lolcode-projects	LOLCODE	0	0	no	yes	https://github.com/dr2xmillion371/lolcode-projects
dreamcruise/lolcode	Python	0	0	no	no	https://github.com/dreamcruise/lolcode
dwinchell/ref-app-lolcode	Dockerfile	0	0	no	no	https://github.com/dwinchell/ref-app-lolcode
dworzycp/track_and_trace		0	0	no	no	https://github.com/dworzycp/track_and_trace
eaedgington/LOLCODE	HTML	0	0	no	no	https://github.com/eaedgington/LOLCODE
egozverev/esoteric_interpreter	Yacc	0	0	no	no	https://github.com/egozverev/esoteric_interpreter
elishaluzano/124-LOLCODE-Interpreter	JavaScript	0	0	no	no	https://github.com/elishaluzano/124-LOLCODE-Interpreter
elliott1645/lolcode	LOLCODE	0	0	no	yes	https://github.com/elliott1645/lolcode
enoviti/lolcode-docs	HTML	0	0	no	no	https://github.com/enoviti/lolcode-docs
evyatarmeged/lolcode-snek	LOLCODE	0	0	no	yes	https://github.com/evyatarmeged/lolcode-snek
ezancanaro/LolCode-T2ezancanaro	Java	0	0	no	no	https://github.com/ezancanaro/LolCode-T2ezancanaro
fhchina/lolcode	HTML	0	0	no	no	https://github.com/fhchina/lolcode
filipw/ScriptCs.Engine.LolCode	C#	0	0	no	no	https://github.com/filipw/ScriptCs.Engine.LolCode
foshesss/LOLCODE	LOLCODE	0	0	no	yes	https://github.com/foshesss/LOLCODE
foshesss/ROFLCODE	C++	0	0	no	no	https://github.com/foshesss/ROFLCODE
fromanan/lolcode	Python	0	0	no	no	https://github.com/fromanan/lolcode
garvit-batra-7/lolcode-hello-unkown		0	0	no	no	https://github.com/garvit-batra-7/lolcode-hello-unkown
gcpelletero/LOLCode-Interpreter-Project-	Python	0	0	no	no	https://github.com/gcpelletero/LOLCode-Interpreter-Project-
gcv-auk/lolcode-docs	HTML	0	0	no	no	https://github.com/gcv-auk/lolcode-docs
geeklearningpath/lolcode-docs	HTML	0	0	no	no	https://github.com/geeklearningpath/lolcode-docs
hackfest-dev/HF24-LoLCode	HTML	0	0	no	no	https://github.com/hackfest-dev/HF24-LoLCode
harsh778/lol	LOLCODE	0	0	no	yes	https://github.com/harsh778/lol
hectoxor/DFS-in-LOLcode	LOLCODE	0	0	no	yes	https://github.com/hectoxor/DFS-in-LOLcode
helionek/lolcode-n-befunge	LOLCODE	0	0	no	yes	https://github.com/helionek/lolcode-n-befunge
hkunkel2/lolcode	Rust	0	0	no	no	https://github.com/hkunkel2/lolcode
hlbreyes/lolcode-interpreter	C#	0	0	no	no	https://github.com/hlbreyes/lolcode-interpreter
hoangleminh2709/lolcode	HTML	0	0	no	no	https://github.com/hoangleminh2709/lolcode
holyPancakes/LOLCodeInterpreter_OTP	C#	0	0	no	no	https://github.com/holyPancakes/LOLCodeInterpreter_OTP
htrant/lol-world	LOLCODE	0	0	no	yes	https://github.com/htrant/lol-world
ikiki1008/lolcode-desu	HTML	0	0	no	no	https://github.com/ikiki1008/lolcode-desu
impressivewebs/lolcode-docs	HTML	0	0	no	no	https://github.com/impressivewebs/lolcode-docs
in0x/spoj_lol	LOLCODE	0	0	no	yes	https://github.com/in0x/spoj_lol
ioanatanasiciuc/LOLCODE_PLP_TanasiciucIoana	Coq	0	0	no	no	https://github.com/ioanatanasiciuc/LOLCODE_PLP_TanasiciucIoana
itrujnara/List_1_LOLCODE	LOLCODE	0	0	no	yes	https://github.com/itrujnara/List_1_LOLCODE
ivanpolo-pro/lolcode		0	0	no	no	https://github.com/ivanpolo-pro/lolcode
jBugman/lol		0	0	no	no	https://github.com/jBugman/lol
jacob-a132/LOLcode	LOLCODE	0	0	no	yes	https://github.com/jacob-a132/LOLcode
jamiec-0123/LOLcode		0	0	no	no	https://github.com/jamiec-0123/LOLcode
jamtot/LOLCODE	LOLCODE	0	0	no	yes	https://github.com/jamtot/LOLCODE
jans-code/janslolcodekernel	Python	0	0	no	no	https://github.com/jans-code/janslolcodekernel
jasonhemann/canhazKanren	LOLCODE	0	0	no	no	https://github.com/jasonhemann/canhazKanren
jasonhemann/lolcode-lang	LOLCODE	0	0	no	yes	https://github.com/jasonhemann/lolcode-lang
jasonhemann/lolcode-spec-graph	Racket	0	0	no	no	https://github.com/jasonhemann/lolcode-spec-graph
jaungos/lolcode-interpreter	Python	0	0	no	no	https://github.com/jaungos/lolcode-interpreter
jaysonix3/CMSC-124-LOLCODE	Python	0	0	no	no	https://github.com/jaysonix3/CMSC-124-LOLCODE
jcgaza/LOLCode-Interpreter	JavaScript	0	0	no	no	https://github.com/jcgaza/LOLCode-Interpreter
jemacalalad/CMSC124-LOLcode-Interpreter-Final-Project	Python	0	0	no	no	https://github.com/jemacalalad/CMSC124-LOLcode-Interpreter-Final-Project
jeoffnathaniel/CMSC124-MALOLOPETS-SYNTAXSEMANTICS-LOLCODE-ANALYZER	Python	0	0	no	no	https://github.com/jeoffnathaniel/CMSC124-MALOLOPETS-SYNTAXSEMANTICS-LOLCODE-ANALYZER
jessicamarie/cat-translator	LOLCODE	0	0	no	yes	https://github.com/jessicamarie/cat-translator
jessterryberry/lolcode_tempconvert		0	0	no	no	https://github.com/jessterryberry/lolcode_tempconvert
jgjadaoag/cmsc124-lolcode-interpreter	C#	0	0	no	no	https://github.com/jgjadaoag/cmsc124-lolcode-interpreter
jhuang314/lolcode-compiler	C	0	0	no	no	https://github.com/jhuang314/lolcode-compiler
jinsen-x/lolcode-game-of-life	LOLCODE	0	0	no	yes	https://github.com/jinsen-x/lolcode-game-of-life
jirrroooo/Lolcode-Interpreter	Java	0	0	no	no	https://github.com/jirrroooo/Lolcode-Interpreter
jkcdarunday/ProjectDestiny	C++	0	0	no	no	https://github.com/jkcdarunday/ProjectDestiny
jlmatienzo/CMSC124-project	Java	0	0	no	no	https://github.com/jlmatienzo/CMSC124-project
jlppascual/LOLCODE_Beililits	Python	0	0	no	no	https://github.com/jlppascual/LOLCODE_Beililits
jmacato/LOLSharp		0	0	no	no	https://github.com/jmacato/LOLSharp
johnbyron-garin/LolCode-Compiler	Python	0	0	no	no	https://github.com/johnbyron-garin/LolCode-Compiler
jojo2357/ConvolutionLolcode	LOLCODE	0	0	no	yes	https://github.com/jojo2357/ConvolutionLolcode
josephrhobbs/lolcode	Rust	0	0	no	no	https://github.com/josephrhobbs/lolcode
joshjavier/lolcode-docs	HTML	0	0	no	no	https://github.com/joshjavier/lolcode-docs
jrem090/LOLCODE	LOLCODE	0	0	no	yes	https://github.com/jrem090/LOLCODE
jrochafonso/lolcode_tryout	LOLCODE	0	0	no	yes	https://github.com/jrochafonso/lolcode_tryout
jubiman/AOC2022	LOLCODE	0	0	no	yes	https://github.com/jubiman/AOC2022
jvesguerra/LOLCode_interpreter	Java	0	0	no	no	https://github.com/jvesguerra/LOLCode_interpreter
kajeagentspi/LOLi	JavaScript	0	0	no	no	https://github.com/kajeagentspi/LOLi
karlpaolo/lolcode-interpreter	JavaScript	0	0	no	no	https://github.com/karlpaolo/lolcode-interpreter
kathcabrera/LOLterpreter	Python	0	0	no	no	https://github.com/kathcabrera/LOLterpreter
keithliam/lolcode-interpreter	HTML	0	0	no	no	https://github.com/keithliam/lolcode-interpreter
keksprache/lolcat.py		0	0	no	no	https://github.com/keksprache/lolcat.py
kevinahuber/LOLCATFUNYAY	LOLCODE	0	0	no	yes	https://github.com/kevinahuber/LOLCATFUNYAY
kjdeluna/Lolcode-Interpreter	C#	0	0	yes	no	https://github.com/kjdeluna/Lolcode-Interpreter
klgonzales/cmsc124-lolcode-main	Python	0	0	no	no	https://github.com/klgonzales/cmsc124-lolcode-main
koral293/lolcode-lexer	C	0	0	no	no	https://github.com/koral293/lolcode-lexer
kylelemons/lolcode-ctools	C++	0	0	no	no	https://github.com/kylelemons/lolcode-ctools
kylereblora/cmsc-124-project-beta-copy	Java	0	0	no	no	https://github.com/kylereblora/cmsc-124-project-beta-copy
kylewensman/CITPT-225_LOLCode_documentation	HTML	0	0	no	no	https://github.com/kylewensman/CITPT-225_LOLCode_documentation
lacraig2/lolcode-java	Java	0	0	no	no	https://github.com/lacraig2/lolcode-java
lbarry00/LOL	LOLCODE	0	0	no	yes	https://github.com/lbarry00/LOL
lehahel/lolcode	C++	0	0	no	no	https://github.com/lehahel/lolcode
lepermessiah57/lolcode-java	Java	0	0	no	no	https://github.com/lepermessiah57/lolcode-java
lmlawas/lolterpreter-2000	C#	0	0	no	no	https://github.com/lmlawas/lolterpreter-2000
lolcodepp/lolcode-spec		0	0	no	no	https://github.com/lolcodepp/lolcode-spec
lolcodepp/lolcodepp.github.io	HTML	0	0	no	no	https://github.com/lolcodepp/lolcodepp.github.io
loloshkaCode/lolCode		0	0	no	no	https://github.com/loloshkaCode/lolCode
lorenzggabriel/WitLang-LolCode-Interpreter	Python	0	0	no	no	https://github.com/lorenzggabriel/WitLang-LolCode-Interpreter
mSulleza/cmsc124-lolcode-chipmunks	C#	0	0	no	no	https://github.com/mSulleza/cmsc124-lolcode-chipmunks
maddyb99/lolcode	LOLCODE	0	0	no	yes	https://github.com/maddyb99/lolcode
madhuprasanna/lolcode		0	0	no	no	https://github.com/madhuprasanna/lolcode
mamerisawesome/acubeLolLexer	C#	0	0	no	no	https://github.com/mamerisawesome/acubeLolLexer
manisha069/Even-Odd-LOLCODE	LOLCODE	0	0	no	yes	https://github.com/manisha069/Even-Odd-LOLCODE
markarenillo/LOLCODE-Interpreter	Java	0	0	no	no	https://github.com/markarenillo/LOLCODE-Interpreter
mattyejohnson/LOLCodeDocSite	HTML	0	0	no	no	https://github.com/mattyejohnson/LOLCodeDocSite
mburnayev/LOLCODE-networking	LOLCODE	0	0	no	yes	https://github.com/mburnayev/LOLCODE-networking
mcy/LOLCODE		0	0	no	no	https://github.com/mcy/LOLCODE
michal98kowalczyk/LolcodeCompiler	Java	0	0	no	no	https://github.com/michal98kowalczyk/LolcodeCompiler
michalier/LOLcodeInterpreter	Rust	0	0	no	no	https://github.com/michalier/LOLcodeInterpreter
miixs/CMSC124_LOLCODE_Interpreter	Python	0	0	no	no	https://github.com/miixs/CMSC124_LOLCODE_Interpreter
mikegogulski/99Bottles-LOLCODE		0	0	no	no	https://github.com/mikegogulski/99Bottles-LOLCODE
mikhmakarov/lolcode_interpreter	Python	0	0	no	no	https://github.com/mikhmakarov/lolcode_interpreter
mmayr-at/VsLolcode	C#	0	0	no	no	https://github.com/mmayr-at/VsLolcode
mmdeviterbo/recreate-lolcode-project	Java	0	0	no	no	https://github.com/mmdeviterbo/recreate-lolcode-project
molnarmark/lolcode-lua	Lua	0	0	no	no	https://github.com/molnarmark/lolcode-lua
morristech/LOLCodeInterpreter	Java	0	0	no	no	https://github.com/morristech/LOLCodeInterpreter
mphay/LOLCODE-Compiler	Java	0	0	no	no	https://github.com/mphay/LOLCODE-Compiler
msbitancor/LOLCODE-interpreter	Python	0	0	no	no	https://github.com/msbitancor/LOLCODE-interpreter
msteinmetz1/LOLCode	HTML	0	0	no	no	https://github.com/msteinmetz1/LOLCode
murraytime803/lolcode		0	0	no	no	https://github.com/murraytime803/lolcode
nalbion/lol-json	Python	0	0	no	no	https://github.com/nalbion/lol-json
naynesmikel/LOLCode_Interpreter	C#	0	0	no	no	https://github.com/naynesmikel/LOLCode_Interpreter
nchammer/adventofcode2019_lolcode	LOLCODE	0	0	no	yes	https://github.com/nchammer/adventofcode2019_lolcode
nikilink/lolcode-dot-net	C#	0	0	no	no	https://github.com/nikilink/lolcode-dot-net
nikmend/LoLCode		0	0	no	no	https://github.com/nikmend/LoLCode
nina-vyedin-simplisafe/agentic-workshop	LOLCODE	0	0	no	yes	https://github.com/nina-vyedin-simplisafe/agentic-workshop
nishantshobhit/lolcode-java	Java	0	0	no	no	https://github.com/nishantshobhit/lolcode-java
niwohlos/niwohcode	Ruby	0	0	no	no	https://github.com/niwohlos/niwohcode
noreenlouisecb/CMSC124-LOLCODE-Interpreter	C#	0	0	no	no	https://github.com/noreenlouisecb/CMSC124-LOLCODE-Interpreter
norvylle/lci	C#	0	0	no	no	https://github.com/norvylle/lci
nourishk7c8/cosc455-lolcode-html-compiler	Java	0	0	no	no	https://github.com/nourishk7c8/cosc455-lolcode-html-compiler
ofekih/lolcode	LOLCODE	0	0	no	yes	https://github.com/ofekih/lolcode
ofekih/lolcode-sublime		0	0	no	no	https://github.com/ofekih/lolcode-sublime
ogii/circleci-lolcode		0	0	no	no	https://github.com/ogii/circleci-lolcode
onejane123/justinmezad		0	0	no	no	https://github.com/onejane123/justinmezad
orchardstreet/LOLCODE-IRC-client	LOLCODE	0	0	no	yes	https://github.com/orchardstreet/LOLCODE-IRC-client
patmaevrgs/LOLCode-Interpreter	Python	0	0	no	no	https://github.com/patmaevrgs/LOLCode-Interpreter
perez-aaron/CMSC-124-Project-LOLCode-Interpreter	Python	0	0	no	no	https://github.com/perez-aaron/CMSC-124-Project-LOLCode-Interpreter
peterrupa/uLOLCODE-Interpreter	JavaScript	0	0	no	no	https://github.com/peterrupa/uLOLCODE-Interpreter
pksinghus/lolcode	HTML	0	0	no	no	https://github.com/pksinghus/lolcode
prince-sachdev/lolcode		0	0	no	no	https://github.com/prince-sachdev/lolcode
prince-sachdev/lolcode-2		0	0	no	no	https://github.com/prince-sachdev/lolcode-2
prince-sachdev/lolcode-3		0	0	no	no	https://github.com/prince-sachdev/lolcode-3
prince-sachdev/lolcode-4		0	0	no	no	https://github.com/prince-sachdev/lolcode-4
prince-sachdev/lolcode-5		0	0	no	no	https://github.com/prince-sachdev/lolcode-5
prince-sachdev/lolcode-6		0	0	no	no	https://github.com/prince-sachdev/lolcode-6
prince-sachdev/lolcode-8		0	0	no	no	https://github.com/prince-sachdev/lolcode-8
prince-sachdev/lolcode-9		0	0	no	no	https://github.com/prince-sachdev/lolcode-9
projectyotta/TryingOutLolcode	HTML	0	0	no	no	https://github.com/projectyotta/TryingOutLolcode
pvtan/CMSC124LOLCODE_Interpreter	C#	0	0	no	no	https://github.com/pvtan/CMSC124LOLCODE_Interpreter
quevinjames/cmsc_124_project	Python	0	0	no	no	https://github.com/quevinjames/cmsc_124_project
rabby7701/lolcodes	Shell	0	0	no	no	https://github.com/rabby7701/lolcodes
rafdp/Language2AST	C++	0	0	no	no	https://github.com/rafdp/Language2AST
ranmocy/lolcode	Ruby	0	0	no	no	https://github.com/ranmocy/lolcode
remotesynth/lolcode-docs	HTML	0	0	no	no	https://github.com/remotesynth/lolcode-docs
remotesynth/lolcode-docs-test	HTML	0	0	no	no	https://github.com/remotesynth/lolcode-docs-test
renderAR/LOLCODE-Interpreter	Java	0	0	no	no	https://github.com/renderAR/LOLCODE-Interpreter
residualmind/lolifyjs		0	0	no	no	https://github.com/residualmind/lolifyjs
rhanneken/lolcode-docs	HTML	0	0	no	no	https://github.com/rhanneken/lolcode-docs
rihsdavid/lolcode_compiler	Python	0	0	no	no	https://github.com/rihsdavid/lolcode_compiler
rjcapuno/AeroHurricanes	C#	0	0	no	no	https://github.com/rjcapuno/AeroHurricanes
rlknre/lolcode-interpreter-proj	Python	0	0	no	no	https://github.com/rlknre/lolcode-interpreter-proj
rmartyna/LOLCODE-examples	LOLCODE	0	0	no	yes	https://github.com/rmartyna/LOLCODE-examples
roboJF/lolcode_compiler	Rust	0	0	no	no	https://github.com/roboJF/lolcode_compiler
robstoll/lolcode	C++	0	0	no	no	https://github.com/robstoll/lolcode
rollen1/lolcode	LOLCODE	0	0	no	yes	https://github.com/rollen1/lolcode
royston/ICanHazLolCode		0	0	no	no	https://github.com/royston/ICanHazLolCode
ryanresoles/LOLCODE-compiler		0	0	no	no	https://github.com/ryanresoles/LOLCODE-compiler
sarvex/lolCode125		0	0	no	no	https://github.com/sarvex/lolCode125
saveniukk/lolcode-interpreter	Python	0	0	no	no	https://github.com/saveniukk/lolcode-interpreter
seancua/CMSC124-Project		0	0	no	no	https://github.com/seancua/CMSC124-Project
sergiomtzlosa/LOLPROGRAMS		0	0	no	no	https://github.com/sergiomtzlosa/LOLPROGRAMS
sh1roee/LOLCode-Interpreter	Python	0	0	no	no	https://github.com/sh1roee/LOLCode-Interpreter
sharin974/lolcodegenerator	CSS	0	0	no	no	https://github.com/sharin974/lolcodegenerator
shyboynccu/LOLCODE		0	0	no	no	https://github.com/shyboynccu/LOLCODE
