repo	kind	priority	curation_score	language	stars	code_hit_count	in_candidate_catalog	in_language_snapshot	reasons	html_url
Swizec/lolcode.macro-example	tooling	P2	25	JavaScript	1	0	no	no	tooling-signal,corpus-signal	https://github.com/Swizec/lolcode.macro-example
AFlyingCar/Interpreter	implementation	P1	24	Python	0	0	no	no	implementation-signal	https://github.com/AFlyingCar/Interpreter
Ajlyde/LOLCODE-group6	implementation	P1	24		0	0	no	no	implementation-signal	https://github.com/Ajlyde/LOLCODE-group6
BrilZliaN/VKCode-bin	implementation	P1	24		0	0	no	no	implementation-signal,impl-root-signal	https://github.com/BrilZliaN/VKCode-bin
Brimirrrr/lolcode-interpreter	implementation	P1	24	Python	0	0	no	no	implementation-signal	https://github.com/Brimirrrr/lolcode-interpreter
ConradLax/CMSC124-LOLCode_Interpreter	implementation	P1	24	Java	0	0	no	no	implementation-signal,impl-root-signal	https://github.com/ConradLax/CMSC124-LOLCode_Interpreter
DavidBenavidez/lolcode-interpreter	implementation	P1	24	C	0	0	no	no	implementation-signal	https://github.com/DavidBenavidez/lolcode-interpreter
EastsidePreparatorySchool/Compilers	implementation	P1	24	Java	0	0	no	no	implementation-signal	https://github.com/EastsidePreparatorySchool/Compilers
ElroyCabalda/LOLCODE-Interpreter	implementation	P1	24	Python	0	0	no	no	implementation-signal	https://github.com/ElroyCabalda/LOLCODE-Interpreter
Gaurav2015/lolcode2	implementation	P1	24	C	0	0	no	no	implementation-signal,impl-root-signal	https://github.com/Gaurav2015/lolcode2
Jeansidharta/lolcode-interpreter	implementation	P1	24	Rust	0	0	no	no	implementation-signal	https://github.com/Jeansidharta/lolcode-interpreter
Jeansidharta/lolcode_to_lua	implementation	P1	24	Rust	0	0	no	no	implementation-signal	https://github.com/Jeansidharta/lolcode_to_lua
JemTorres/lolinterpreter	implementation	P1	24		0	0	no	no	implementation-signal	https://github.com/JemTorres/lolinterpreter
JramaeGallos/lmaoCode	implementation	P1	24	Python	0	0	no	no	implementation-signal	https://github.com/JramaeGallos/lmaoCode
Lizurt/jlci	implementation	P1	24	Java	0	0	no	no	implementation-signal	https://github.com/Lizurt/jlci
MKX00/lolcode	implementation	P1	24	Python	0	0	no	no	implementation-signal	https://github.com/MKX00/lolcode
Multiball/LOLCAML	implementation	P1	24	OCaml	0	0	no	no	implementation-signal	https://github.com/Multiball/LOLCAML
Pigottni/LOLcode_Project	implementation	P1	24	Python	0	0	no	no	implementation-signal	https://github.com/Pigottni/LOLcode_Project
Rex-Kim/LOLCODE	implementation	P1	24	C	0	0	no	no	implementation-signal,impl-root-signal	https://github.com/Rex-Kim/LOLCODE
SKDelow/lolcode	implementation	P1	24	HTML	0	0	no	no	implementation-signal	https://github.com/SKDelow/lolcode
Sig00rd/lol2py	implementation	P1	24	Python	0	0	no	no	implementation-signal	https://github.com/Sig00rd/lol2py
Surachhya/LOLCODE_Markdown_Compiler	implementation	P1	24	Rust	0	0	no	no	implementation-signal	https://github.com/Surachhya/LOLCODE_Markdown_Compiler
Vapidjimbo/LOLCode	implementation	P1	24	HTML	0	0	no	no	implementation-signal	https://github.com/Vapidjimbo/LOLCode
Welcome-To-My-Repo/LOLCODE-Compiler	implementation	P1	24	C	0	0	no	no	implementation-signal	https://github.com/Welcome-To-My-Repo/LOLCODE-Compiler
Yana-Koroliuk/LOLCODE-Interpreter	implementation	P1	24	Java	0	0	no	no	implementation-signal	https://github.com/Yana-Koroliuk/LOLCODE-Interpreter
achiisan/LOLCode	implementation	P1	24	C#	0	0	no	no	implementation-signal	https://github.com/achiisan/LOLCode
acnadua/lolcode_interpreter	implementation	P1	24	C#	0	0	no	no	implementation-signal	https://github.com/acnadua/lolcode_interpreter
alexpana/lolcode.js	implementation	P1	24	JavaScript	0	0	no	no	implementation-signal	https://github.com/alexpana/lolcode.js
alisshamac/LOLCODE-Compiler	implementation	P1	24	Python	0	0	no	no	implementation-signal	https://github.com/alisshamac/LOLCODE-Compiler
anatolyburtsev/lolcode_ply_interpreter	implementation	P1	24	Python	0	0	no	no	implementation-signal	https://github.com/anatolyburtsev/lolcode_ply_interpreter
baotoq/LolCode	implementation	P1	24	Scala	0	0	no	no	implementation-signal	https://github.com/baotoq/LolCode
bdwilliamsvanzant/LolCode	implementation	P1	24	HTML	0	0	no	no	implementation-signal	https://github.com/bdwilliamsvanzant/LolCode
bfedward/lolcoders	implementation	P1	24	Rust	0	0	no	no	implementation-signal	https://github.com/bfedward/lolcoders
bmwoods1111/LOLCode	implementation	P1	24	HTML	0	0	no	no	implementation-signal	https://github.com/bmwoods1111/LOLCode
brlimarce/lmao-code	implementation	P1	24	Python	0	0	no	no	implementation-signal	https://github.com/brlimarce/lmao-code
camaeyeban/lolcode_interpreter	implementation	P1	24	C#	0	0	no	no	implementation-signal	https://github.com/camaeyeban/lolcode_interpreter
cgtnt/lolcode-interpreter	implementation	P1	24	C#	0	0	no	no	implementation-signal	https://github.com/cgtnt/lolcode-interpreter
chjuruena/LOLCODE_Interpreter_CMSC124	implementation	P1	24	C#	0	0	no	no	implementation-signal	https://github.com/chjuruena/LOLCODE_Interpreter_CMSC124
cj-mm/LOLterpreter	implementation	P1	24	Python	0	0	no	no	implementation-signal	https://github.com/cj-mm/LOLterpreter
cloew/LOLCodeParser	implementation	P1	24	Python	0	0	no	no	implementation-signal	https://github.com/cloew/LOLCodeParser
clstia/124_LOLCode_Interpreter	implementation	P1	24	C#	0	0	no	no	implementation-signal	https://github.com/clstia/124_LOLCode_Interpreter
cslabiano/cmsc124-project	implementation	P1	24	Python	0	0	no	no	implementation-signal	https://github.com/cslabiano/cmsc124-project
cyronquillo/lolcode-interpreter	implementation	P1	24	Python	0	0	no	no	implementation-signal	https://github.com/cyronquillo/lolcode-interpreter
da1ssk7/justinmezad	implementation	P1	24		0	0	no	no	implementation-signal	https://github.com/da1ssk7/justinmezad
dreamcruise/lolcode	implementation	P1	24	Python	0	0	no	no	implementation-signal	https://github.com/dreamcruise/lolcode
eaedgington/LOLCODE	implementation	P1	24	HTML	0	0	no	no	implementation-signal	https://github.com/eaedgington/LOLCODE
elishaluzano/124-LOLCODE-Interpreter	implementation	P1	24	JavaScript	0	0	no	no	implementation-signal	https://github.com/elishaluzano/124-LOLCODE-Interpreter
fhchina/lolcode	implementation	P1	24	HTML	0	0	no	no	implementation-signal	https://github.com/fhchina/lolcode
foshesss/ROFLCODE	implementation	P1	24	C++	0	0	no	no	implementation-signal	https://github.com/foshesss/ROFLCODE
fromanan/lolcode	implementation	P1	24	Python	0	0	no	no	implementation-signal	https://github.com/fromanan/lolcode
gcpelletero/LOLCode-Interpreter-Project-	implementation	P1	24	Python	0	0	no	no	implementation-signal	https://github.com/gcpelletero/LOLCode-Interpreter-Project-
hkunkel2/lolcode	implementation	P1	24	Rust	0	0	no	no	implementation-signal	https://github.com/hkunkel2/lolcode
hoangleminh2709/lolcode	implementation	P1	24	HTML	0	0	no	no	implementation-signal	https://github.com/hoangleminh2709/lolcode
jcgaza/LOLCode-Interpreter	implementation	P1	24	JavaScript	0	0	no	no	implementation-signal	https://github.com/jcgaza/LOLCode-Interpreter
jemacalalad/CMSC124-LOLcode-Interpreter-Final-Project	implementation	P1	24	Python	0	0	no	no	implementation-signal	https://github.com/jemacalalad/CMSC124-LOLcode-Interpreter-Final-Project
jgjadaoag/cmsc124-lolcode-interpreter	implementation	P1	24	C#	0	0	no	no	implementation-signal	https://github.com/jgjadaoag/cmsc124-lolcode-interpreter
jhuang314/lolcode-compiler	implementation	P1	24	C	0	0	no	no	implementation-signal	https://github.com/jhuang314/lolcode-compiler
jirrroooo/Lolcode-Interpreter	implementation	P1	24	Java	0	0	no	no	implementation-signal	https://github.com/jirrroooo/Lolcode-Interpreter
jlmatienzo/CMSC124-project	implementation	P1	24	Java	0	0	no	no	implementation-signal	https://github.com/jlmatienzo/CMSC124-project
jvesguerra/LOLCode_interpreter	implementation	P1	24	Java	0	0	no	no	implementation-signal	https://github.com/jvesguerra/LOLCode_interpreter
lehahel/lolcode	implementation	P1	24	C++	0	0	no	no	implementation-signal	https://github.com/lehahel/lolcode
lmlawas/lolterpreter-2000	implementation	P1	24	C#	0	0	no	no	implementation-signal	https://github.com/lmlawas/lolterpreter-2000
markarenillo/LOLCODE-Interpreter	implementation	P1	24	Java	0	0	no	no	implementation-signal	https://github.com/markarenillo/LOLCODE-Interpreter
michal98kowalczyk/LolcodeCompiler	implementation	P1	24	Java	0	0	no	no	implementation-signal,impl-root-signal	https://github.com/michal98kowalczyk/LolcodeCompiler
miixs/CMSC124_LOLCODE_Interpreter	implementation	P1	24	Python	0	0	no	no	implementation-signal	https://github.com/miixs/CMSC124_LOLCODE_Interpreter
mikhmakarov/lolcode_interpreter	implementation	P1	24	Python	0	0	no	no	implementation-signal	https://github.com/mikhmakarov/lolcode_interpreter
morristech/LOLCodeInterpreter	implementation	P1	24	Java	0	0	no	no	implementation-signal	https://github.com/morristech/LOLCodeInterpreter
mphay/LOLCODE-Compiler	implementation	P1	24	Java	0	0	no	no	implementation-signal	https://github.com/mphay/LOLCODE-Compiler
msbitancor/LOLCODE-interpreter	implementation	P1	24	Python	0	0	no	no	implementation-signal	https://github.com/msbitancor/LOLCODE-interpreter
msteinmetz1/LOLCode	implementation	P1	24	HTML	0	0	no	no	implementation-signal	https://github.com/msteinmetz1/LOLCode
naynesmikel/LOLCode_Interpreter	implementation	P1	24	C#	0	0	no	no	implementation-signal	https://github.com/naynesmikel/LOLCode_Interpreter
nikilink/lolcode-dot-net	implementation	P1	24	C#	0	0	no	no	implementation-signal	https://github.com/nikilink/lolcode-dot-net
noreenlouisecb/CMSC124-LOLCODE-Interpreter	implementation	P1	24	C#	0	0	no	no	implementation-signal	https://github.com/noreenlouisecb/CMSC124-LOLCODE-Interpreter
norvylle/lci	implementation	P1	24	C#	0	0	no	no	implementation-signal	https://github.com/norvylle/lci
nourishk7c8/cosc455-lolcode-html-compiler	implementation	P1	24	Java	0	0	no	no	implementation-signal,impl-root-signal	https://github.com/nourishk7c8/cosc455-lolcode-html-compiler
patmaevrgs/LOLCode-Interpreter	implementation	P1	24	Python	0	0	no	no	implementation-signal	https://github.com/patmaevrgs/LOLCode-Interpreter
pksinghus/lolcode	implementation	P1	24	HTML	0	0	no	no	implementation-signal	https://github.com/pksinghus/lolcode
pvtan/CMSC124LOLCODE_Interpreter	implementation	P1	24	C#	0	0	no	no	implementation-signal,impl-root-signal	https://github.com/pvtan/CMSC124LOLCODE_Interpreter
ranmocy/lolcode	implementation	P1	24	Ruby	0	0	no	no	implementation-signal	https://github.com/ranmocy/lolcode
rlknre/lolcode-interpreter-proj	implementation	P1	24	Python	0	0	no	no	implementation-signal	https://github.com/rlknre/lolcode-interpreter-proj
roboJF/lolcode_compiler	implementation	P1	24	Rust	0	0	no	no	implementation-signal	https://github.com/roboJF/lolcode_compiler
robstoll/lolcode	implementation	P1	24	C++	0	0	no	no	implementation-signal,noise-signal	https://github.com/robstoll/lolcode
ryanresoles/LOLCODE-compiler	implementation	P1	24		0	0	no	no	implementation-signal	https://github.com/ryanresoles/LOLCODE-compiler
seancua/CMSC124-Project	implementation	P1	24		0	0	no	no	implementation-signal	https://github.com/seancua/CMSC124-Project
sh1roee/LOLCode-Interpreter	implementation	P1	24	Python	0	0	no	no	implementation-signal	https://github.com/sh1roee/LOLCode-Interpreter
starquell/LOLCODE-Interpreter	implementation	P1	24	C++	0	0	no	no	implementation-signal	https://github.com/starquell/LOLCODE-Interpreter
stephen-riley/lolcode	implementation	P1	24	Perl	0	0	no	no	implementation-signal	https://github.com/stephen-riley/lolcode
superman12747-crypto/esolang-bucket	implementation	P1	24		0	0	no	no	implementation-signal	https://github.com/superman12747-crypto/esolang-bucket
swaghma1-cosc-455/cosc_455_lolcode_compiler_project	implementation	P1	24	Rust	0	0	no	no	implementation-signal,impl-root-signal	https://github.com/swaghma1-cosc-455/cosc_455_lolcode_compiler_project
taddeus/lolwut	implementation	P1	24	OCaml	0	0	no	no	implementation-signal	https://github.com/taddeus/lolwut
taj-caeli/lolcode-interpreter	implementation	P1	24	Python	0	0	no	no	implementation-signal	https://github.com/taj-caeli/lolcode-interpreter
tony-stark18/LolCode	implementation	P1	24	C++	0	0	no	no	implementation-signal	https://github.com/tony-stark18/LolCode
yawkat/lolcode	implementation	P1	24	Java	0	0	no	no	implementation-signal	https://github.com/yawkat/lolcode
zenithcipriano/LOLCode-Interpreter	implementation	P1	24		0	0	no	no	implementation-signal	https://github.com/zenithcipriano/LOLCode-Interpreter
jocelyne8/lolcode	corpus	P3	22	LOLCODE	4	9	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/jocelyne8/lolcode
Swizec/lolcode-fizzbuzz-example	tooling	P2	22	JavaScript	0	0	no	no	tooling-signal,corpus-signal	https://github.com/Swizec/lolcode-fizzbuzz-example
BGP100/LOLCODE-Guide	docs	P2	21		1	0	no	no	docs-signal,corpus-signal	https://github.com/BGP100/LOLCODE-Guide
LeartS/loleuler	corpus	P3	20	LOLCODE	18	2	yes	yes	corpus-signal,also-in-language-snapshot,already-in-candidate-catalog	https://github.com/LeartS/loleuler
arwinneil/vscode-lolcode	tooling	P2	20		15	0	no	no	tooling-signal	https://github.com/arwinneil/vscode-lolcode
Swizec/lolcode-babel-macro	tooling	P2	20	JavaScript	12	0	no	no	tooling-signal	https://github.com/Swizec/lolcode-babel-macro
rodrigocaldeira/tictactoelolcode	corpus	P3	19	LOLCODE	21	1	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/rodrigocaldeira/tictactoelolcode
seanpm2001/SNU_2D_ProgrammingTools_IDE_LOLCODE	corpus	P3	19	LOLCODE	2	6	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/seanpm2001/SNU_2D_ProgrammingTools_IDE_LOLCODE
justinmeza/httpd.lol	corpus	P3	18	LOLCODE	137	0	yes	yes	corpus-signal,also-in-language-snapshot,already-in-candidate-catalog	https://github.com/justinmeza/httpd.lol
justinmeza/lolcode-spec	docs	P2	16		631	0	no	no	docs-signal	https://github.com/justinmeza/lolcode-spec
leyarotheconquerer/lolcode-reference	docs	P2	16	HTML	14	0	no	no	docs-signal	https://github.com/leyarotheconquerer/lolcode-reference
chutasano/lolcode	corpus	P3	16	LOLCODE	2	3	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/chutasano/lolcode
CodaFi/LOLCODE.tmLanguage	tooling	P2	15		8	0	no	no	tooling-signal	https://github.com/CodaFi/LOLCODE.tmLanguage
Kimbsy/lolcode	corpus	P3	15	LOLCODE	7	2	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/Kimbsy/lolcode
markjreed/eulol	corpus	P3	15	LOLCODE	7	2	yes	yes	corpus-signal,also-in-language-snapshot,already-in-candidate-catalog	https://github.com/markjreed/eulol
Xe/lolcode.vim	tooling	P2	15	VimL	7	0	no	no	tooling-signal	https://github.com/Xe/lolcode.vim
mapmeld/MapPLZ	tooling	P2	15	JavaScript	6	0	no	no	tooling-signal	https://github.com/mapmeld/MapPLZ
bodil/lolcode-mode	tooling	P2	15	Emacs Lisp	3	0	no	no	tooling-signal	https://github.com/bodil/lolcode-mode
seanpm2001/Learn-LOLCODE	corpus	P3	15	LOLCODE	2	2	yes	yes	corpus-signal,also-in-language-snapshot,already-in-candidate-catalog	https://github.com/seanpm2001/Learn-LOLCODE
KrazIvan/LOLCODE-grammar-vscode	tooling	P2	15	TypeScript	2	0	no	no	tooling-signal	https://github.com/KrazIvan/LOLCODE-grammar-vscode
calvinmm/lolcode-dsl	tooling	P2	15	Scala	2	0	no	no	tooling-signal	https://github.com/calvinmm/lolcode-dsl
fabasoad/setup-lolcode-action	tooling	P2	15	Shell	2	0	no	no	tooling-signal	https://github.com/fabasoad/setup-lolcode-action
rae-ralston/can-i-haz-blockchain	tooling	P2	15	JavaScript	2	0	no	no	tooling-signal	https://github.com/rae-ralston/can-i-haz-blockchain
steenhulthin/LOLCODE_NPP	tooling	P2	15		2	0	no	no	tooling-signal	https://github.com/steenhulthin/LOLCODE_NPP
Lucki/gtksourceview-lolcode	tooling	P2	15		1	0	no	no	tooling-signal	https://github.com/Lucki/gtksourceview-lolcode
marioaquino/LOLcode.tmbundle	tooling	P2	15		1	0	no	no	tooling-signal	https://github.com/marioaquino/LOLcode.tmbundle
threeifbywhiskey/vim-lolcode	tooling	P2	15	VimL	1	0	no	no	tooling-signal	https://github.com/threeifbywhiskey/vim-lolcode
darylldan/lolcode-testcases	corpus	P3	15	LOLCODE	0	5	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/darylldan/lolcode-testcases
fsill99/fibonacci	corpus	P3	14	LOLCODE	8	1	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/fsill99/fibonacci
HogardDeLauger/lolcode-equation-solver	corpus	P3	14	LOLCODE	5	1	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/HogardDeLauger/lolcode-equation-solver
javif89/webcat	corpus	P3	14	Python	5	1	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/javif89/webcat
Buttars/LOLCODE-FIBONACCI	corpus	P3	14	LOLCODE	4	1	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/Buttars/LOLCODE-FIBONACCI
carlmathisen/htmx-lolcode	corpus	P3	14	LOLCODE	3	1	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/carlmathisen/htmx-lolcode
justinmeza/lollm	corpus	P3	14	LOLCODE	3	1	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/justinmeza/lollm
TheDummi/Meow	corpus	P3	14	LOLCODE	1	1	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/TheDummi/Meow
mathisneunzig/LOLCODE	corpus	P3	14	LOLCODE	1	1	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/mathisneunzig/LOLCODE
mjrb/mongo-lol-driver-example	corpus	P3	14	LOLCODE	1	1	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/mjrb/mongo-lol-driver-example
Stovoy/LOLCODE-Snake	corpus	P3	13	LOLCODE	10	0	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/Stovoy/LOLCODE-Snake
PieVieRo/LOLCODE-calculator	corpus	P3	13	LOLCODE	5	0	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/PieVieRo/LOLCODE-calculator
Zyndoras/calculator.lol	corpus	P3	13	LOLCODE	3	0	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/Zyndoras/calculator.lol
akleemans/pogo-ivrater-lolcode	corpus	P3	13	LOLCODE	3	0	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/akleemans/pogo-ivrater-lolcode
aurasphere/ftpd.lol	corpus	P3	13	LOLCODE	3	0	yes	yes	corpus-signal,also-in-language-snapshot,already-in-candidate-catalog	https://github.com/aurasphere/ftpd.lol
theDrake/lolcode-experiments	corpus	P3	13	LOLCODE	3	0	yes	yes	corpus-signal,also-in-language-snapshot,already-in-candidate-catalog	https://github.com/theDrake/lolcode-experiments
Chameleon-Coder/cat-journey	corpus	P3	13	LOLCODE	2	0	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/Chameleon-Coder/cat-journey
EloniX-X/LOLCODE-calculator	corpus	P3	13	LOLCODE	2	0	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/EloniX-X/LOLCODE-calculator
nathanchere/HackerRank_LOLCODE	corpus	P3	13	LOLCODE	2	0	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/nathanchere/HackerRank_LOLCODE
rodrigocaldeira/Bitcoin-Prices	corpus	P3	13	LOLCODE	2	0	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/rodrigocaldeira/Bitcoin-Prices
shreyaslad/Fun-with-LOLCODE	corpus	P3	13	LOLCODE	2	0	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/shreyaslad/Fun-with-LOLCODE
Chameleon-Coder/stunning-sniffle	corpus	P3	13	LOLCODE	1	0	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/Chameleon-Coder/stunning-sniffle
ChristopherA8/lolcalc	corpus	P3	13	LOLCODE	1	0	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/ChristopherA8/lolcalc
Idkwhoami42/Lolcode	corpus	P3	13	LOLCODE	1	0	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/Idkwhoami42/Lolcode
Nameless9000/LOLCODE_Shell	corpus	P3	13	LOLCODE	1	0	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/Nameless9000/LOLCODE_Shell
Nicolas-hr/Lolcode	corpus	P3	13	LOLCODE	1	0	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/Nicolas-hr/Lolcode
TechDudie/learning-lolcode	corpus	P3	13	LOLCODE	1	0	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/TechDudie/learning-lolcode
TheWrongAlice/ROK-PAPR-STABBERS	corpus	P3	13	LOLCODE	1	0	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/TheWrongAlice/ROK-PAPR-STABBERS
abhinavk001/my-first-esoteric-lang	corpus	P3	13	LOLCODE	1	0	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/abhinavk001/my-first-esoteric-lang
aleless/Guess-the-Numer-LOLCODE	corpus	P3	13	LOLCODE	1	0	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/aleless/Guess-the-Numer-LOLCODE
calebwherry/LOLCODE-Examples	corpus	P3	13		1	0	no	no	corpus-signal	https://github.com/calebwherry/LOLCODE-Examples
cemtuver/aoc21-lolcode	corpus	P3	13	LOLCODE	1	0	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/cemtuver/aoc21-lolcode
chriswaugh/lolbuzz	corpus	P3	13	LOLCODE	1	0	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/chriswaugh/lolbuzz
denzven/PalindromeChecker.lol	corpus	P3	13	LOLCODE	1	0	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/denzven/PalindromeChecker.lol
hmlendea/rock-paper-scissors-lolcode	corpus	P3	13	LOLCODE	1	0	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/hmlendea/rock-paper-scissors-lolcode
ishowportugal/LOLCODE	corpus	P3	13	LOLCODE	1	0	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/ishowportugal/LOLCODE
martinmorando/lolcode	corpus	P3	13	LOLCODE	1	0	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/martinmorando/lolcode
prisems/LOLCODE-Calculator-v2	corpus	P3	13	LOLCODE	1	0	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/prisems/LOLCODE-Calculator-v2
ryzbaka/LOLCODE-STUFF	corpus	P3	13	LOLCODE	1	0	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/ryzbaka/LOLCODE-STUFF
shaunlgs/lolcode-simple-algorithms	corpus	P3	13	LOLCODE	1	0	yes	yes	corpus-signal,also-in-language-snapshot,already-in-candidate-catalog	https://github.com/shaunlgs/lolcode-simple-algorithms
yule/lolcode	corpus	P3	13		1	0	no	no	corpus-signal	https://github.com/yule/lolcode
GayathriPCh/LoLCode-AI	tooling	P2	12	TypeScript	0	0	no	no	tooling-signal	https://github.com/GayathriPCh/LoLCode-AI
actions-marketplace-validations/fabasoad_setup-lolcode-action	tooling	P2	12	Shell	0	0	no	no	tooling-signal	https://github.com/actions-marketplace-validations/fabasoad_setup-lolcode-action
kajeagentspi/LOLi	tooling	P2	12	JavaScript	0	0	no	no	tooling-signal	https://github.com/kajeagentspi/LOLi
mmayr-at/VsLolcode	tooling	P2	12	C#	0	0	no	no	tooling-signal	https://github.com/mmayr-at/VsLolcode
rabby7701/lolcodes	tooling	P2	12	Shell	0	0	no	no	tooling-signal	https://github.com/rabby7701/lolcodes
texmex76/tree-sitter-lolcode	tooling	P2	12	JavaScript	0	0	no	no	tooling-signal	https://github.com/texmex76/tree-sitter-lolcode
SandeeepKiran/LOLCODE	docs	P2	11		1	0	no	no	docs-signal	https://github.com/SandeeepKiran/LOLCODE
MichaelSun48/LOLCODE_TTT	corpus	P3	11	LOLCODE	0	1	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/MichaelSun48/LOLCODE_TTT
cbrepp/lolchess	corpus	P3	11	LOLCODE	0	1	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/cbrepp/lolchess
donno2048/Quines	corpus	P3	11	HTML	0	1	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/donno2048/Quines
klenndacoder69/lolcode-project-124	corpus	P3	11	Python	0	1	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/klenndacoder69/lolcode-project-124
tashrique/LOLCODE-The-Williams-Frosh-Game	corpus	P3	11	LOLCODE	0	1	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/tashrique/LOLCODE-The-Williams-Frosh-Game
williambl/lolcode-matrix-multiplier	corpus	P3	11	LOLCODE	0	1	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/williambl/lolcode-matrix-multiplier
0xKY/LOL	corpus	P3	10	LOLCODE	0	0	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/0xKY/LOL
11A11/Lolcode-spongebob-meme-text	corpus	P3	10	LOLCODE	0	0	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/11A11/Lolcode-spongebob-meme-text
3r1k0n/LOLCODEshenanigans	corpus	P3	10	LOLCODE	0	0	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/3r1k0n/LOLCODEshenanigans
AJEvans/AdventOfCode2022	corpus	P3	10	LOLCODE	0	0	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/AJEvans/AdventOfCode2022
AScheibe/lolcode-calculator	corpus	P3	10	LOLCODE	0	0	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/AScheibe/lolcode-calculator
AidanTheJsDev/lolcode-calculator	corpus	P3	10	LOLCODE	0	0	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/AidanTheJsDev/lolcode-calculator
AlisaTemp/lolcode-project	corpus	P3	10	LOLCODE	0	0	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/AlisaTemp/lolcode-project
Anormalm/EsoSim	corpus	P3	10	JavaScript	0	0	no	no	corpus-signal	https://github.com/Anormalm/EsoSim
ArnavK-09/trieslolcode	corpus	P3	10	LOLCODE	0	0	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/ArnavK-09/trieslolcode
BLANK-Zora/LOLCODE	corpus	P3	10	LOLCODE	0	0	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/BLANK-Zora/LOLCODE
CMSC124-SAT-SEM1-2021/Gamata_M_Tiangson_C_LOLCODE	corpus	P3	10	LOLCODE	0	0	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/CMSC124-SAT-SEM1-2021/Gamata_M_Tiangson_C_LOLCODE
Camto/mk.lol	corpus	P3	10	LOLCODE	0	0	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/Camto/mk.lol
CheikOmar325/LolCode-Snippets	corpus	P3	10	LOLCODE	0	0	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/CheikOmar325/LolCode-Snippets
Chingles2404/first-lolcode-program	corpus	P3	10	LOLCODE	0	0	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/Chingles2404/first-lolcode-program
Ckeshua/lolcode	corpus	P3	10	LOLCODE	0	0	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/Ckeshua/lolcode
Cleggatron/LoLCodeFizzBuzz	corpus	P3	10	LOLCODE	0	0	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/Cleggatron/LoLCodeFizzBuzz
ComputerGuyYash/LOLCODE-RawProgam	corpus	P3	10	LOLCODE	0	0	no	yes	corpus-signal,also-in-language-snapshot	https://github.com/ComputerGuyYash/LOLCODE-RawProgam
